,title,address,access,age,floor,fee,management_fee,deposit,gratuity,madori,menseki
0,都営大江戸線 練馬春日町駅 3階建 築11年,東京都練馬区春日町１,"
都営大江戸線/練馬春日町駅 歩7分
都営大江戸線/豊島園駅 歩11分
東京メトロ有楽町線/平和台駅 歩21分
","
築11年
3階建
","
											2階",11.8万円,4000円,-,11.8万円,1LDK,44.34m2
1,都営大江戸線 練馬春日町駅 3階建 築11年,東京都練馬区春日町１,"
都営大江戸線/練馬春日町駅 歩7分
都営大江戸線/豊島園駅 歩11分
東京メトロ有楽町線/平和台駅 歩21分
","
築11年
3階建
","
											2階",11.8万円,4000円,-,11.8万円,1LDK,44.34m2
2,都営大江戸線 練馬春日町駅 3階建 築11年,東京都練馬区春日町１,"
都営大江戸線/練馬春日町駅 歩7分
都営大江戸線/豊島園駅 歩11分
東京メトロ有楽町線/平和台駅 歩21分
","
築11年
3階建
","
											3階",12.2万円,4000円,-,12.2万円,1LDK,47.4m2
3,都営大江戸線 練馬春日町駅 3階建 築11年,東京都練馬区春日町１,"
都営大江戸線/練馬春日町駅 歩7分
都営大江戸線/豊島園駅 歩11分
東京メトロ有楽町線/平和台駅 歩21分
","
築11年
3階建
","
											3階",12.2万円,4000円,-,12.2万円,1LDK,47.4m2
